product_id,product_name,price,inventory,category_name
792882P,BIANCO PERLA,195.300000,0,granite
374007P,BROWN FANTASY,332.640000,3.0,marble
890911P,CALACATTA AURORA II,420.000000,3.0,quartz
890916P,CALACATTA CREEK II,454.740000,11.0,quartz
890906P,CALACATTA LUCA II,442.110000,14.0,quartz
888441P,CALACATTA MIRAGIO,495.000000,8.0,quartz
902127P,CALACATTA SIENA II,450.000000,19.0,quartz
911852P,CHARCOAL GREY II,352.440000,168.0,quartz
627859P,MAHARAJA,639.490000,2.0,quartzite
736102P,MONA LISA,386.790000,0,granite
809537P,NEW BIANCO FLOWER,197.060000,2.0,granite
867813P,NEW NAMIB FANTASY II,321.150000,0,marble
902137P,OYSTER II,356.000000,1.0,quartz
902143P,PURE WHITE II,373.330000,110.0,quartz
888436P,SIMPLE CARRERA,313.730000,0,quartz
367216P,ST. CECILIA LIGHT,250.940000,13.0,granite
341205P,STEEL GREY,310.000000,4.0,granite
406561P,WHITE CARRARA,345.280000,1.0,quartz
375031P,WHITE ROSE,283.520000,1.0,granite
888426P,WHITE SPARKLE,309.090000,0,quartz
