week_date,source_date,status,fallback_used,row_count
2026-03-30,2026-03-30,captured,false,27
2026-04-06,2026-04-06,captured,false,27
2026-04-13,2026-04-14,captured_from_tuesday,true,27
2026-04-20,2026-04-20,captured,false,27
2026-04-27,2026-04-27,captured,false,27
2026-05-04,2026-05-04,captured,false,27
2026-05-11,2026-05-11,captured,false,27
2026-05-18,2026-05-18,captured,false,27
2026-05-25,2026-05-25,captured,false,27
2026-06-01,2026-06-01,captured,false,20
2026-06-08,2026-06-08,captured,false,20
2026-06-15,2026-06-15,captured,false,20
2026-06-22,2026-06-22,captured,false,20
2026-06-29,2026-06-29,captured,false,20
2026-07-06,2026-07-06,captured,false,20
2026-07-13,2026-07-13,captured,false,27
2026-07-20,2026-07-20,captured,false,27
2026-07-27,2026-07-27,captured,false,27
2026-08-03,2026-08-03,captured,false,27
